sampleId,lat,long,continent,country,nPools,nFlies,nToUse,Date,SRA_Accession,SOURCE,DataType,TimeRange
AU_Tas_Sor_1_2004-07-01,-42.77,147.56,Oceania,Australia,1,18,1,2004-07-01,,dgn,PoolSeq,0
AU_Vic_Mel_1_2021-04-19,-37.456222,144.940778,Oceania,Australia,1,40,1,2021-04-19,,DrosEU_3,PoolSeq,0
AU_Vic_Tah_1_2017-12-04,-36.835805,145.095787,Oceania,Australia,1,40,1,2017-12-04,,DrosEU_3,PoolSeq,0
AU_Vic_Yer_1_NA-MM-DD,-37.6933,145.3499,Oceania,Australia,1,22,1,NA-MM-DD,SRR2587482,dest_plus,PoolSeq,Absent
BR_Rio_San_1_2020-01-06,-29.678333,-53.69,South_America,Brasil,1,40,1,2020-01-06,,DrosEU_3_sa,PoolSeq,0
BR_Sao_USP_1_2019-09-15,-23.994722,-46.2525,South_America,Brasil,1,34,1,2019-09-15,,DrosEU_3_sa,PoolSeq,0
BY_Bre_Bre_1_2015-09-11,52.142193,23.662434,Europe,Belarus,1,40,1,2015-09-11,SRR8439157,DrosEU,PoolSeq,0
CH_Fri_Ors_1_2020-08-23,46.71061,6.98713,Europe,Switzerland,1,40,1,2020-08-23,,DrosEU_3,PoolSeq,0
CM_Nor_Oku_1_2004-04-15,6.25,10.43,Africa,Cameroon,1,10,1,2004-04-15,,dgn,PoolSeq,0
CO_Cun_LaV_1_2019-02-21,4.995972,-74.364194,South_America,Colombia,1,40,1,2019-02-21,,DrosEU_3_sa,PoolSeq,0
CO_Cun_Tab_1_2019-12-20,4.967111,-74.083889,South_America,Colombia,1,39,1,2019-12-20,,DrosEU_3_sa,PoolSeq,0
CO_Mag_Sie_1_2019-07-24,11.143611,-74.117778,South_America,Colombia,1,40,1,2019-07-24,,DrosEU_3_sa,PoolSeq,0
CO_Tol_Gir_1_2019-04-04,4.489722,-75.311667,South_America,Colombia,1,40,1,2019-04-04,,DrosEU_3_sa,PoolSeq,0
CO_Tol_Mel_1_2019-06-11,4.203889,-74.642778,South_America,Colombia,1,40,1,2019-06-11,,DrosEU_3_sa,PoolSeq,0
CY_Nic_Nic_1_2014-08-10,35.066461,33.322646,Asia,Cyprus,1,40,1,2014-08-10,SRR5647756,DrosEU,PoolSeq,0
DE_Bra_Ber_1_2021-07-24,52.69907,13.07596,Europe,Germany,1,40,1,2021-07-24,,DrosEU_3,PoolSeq,0
DE_Bra_Ber_2_2021-07-24,52.38012,12.86791,Europe,Germany,1,40,1,2021-07-24,,DrosEU_3,PoolSeq,0
EC_Pic_Con_1_2019-06-26,-0.288806,-78.494472,South_America,Ecuador,1,40,1,2019-06-26,,DrosEU_3_sa,PoolSeq,0
EG_Al_Cai_1_2011-01-16,30.1,31.32,Africa,Egypt,1,29,1,2011-01-16,,dgn,PoolSeq,0
ES_Bal_Tom_1_2021-10-07,39.1689,2.9849,Europe,Spain,1,32,1,2021-10-07,,DrosEU_3,PoolSeq,0
ES_Ciu_Man_1_2020-08-10,38.9707208053836,-3.4072120460269,Europe,Spain,1,30,1,2020-08-10,,DrosEU_3,PoolSeq,0
ES_Ler_Pin_1_2018-10-10,41.485,0.522,Europe,Spain,1,18,1,2018-10-10,,DrosEU_3,PoolSeq,0
ES_Mad_Yep_1_2018-11-06,40.06,-3.53,Europe,Spain,1,32,1,2018-11-06,,DrosEU_3,PoolSeq,0
ES_Tol_Vil_1_2018-10-07,39.87,-3.32,Europe,Spain,1,40,1,2018-10-07,,DrosEU_3,PoolSeq,0
ES_Zam_Ose_1_2018-09-20,41.53,-5.68,Europe,Spain,1,40,1,2018-09-20,,DrosEU_3,PoolSeq,0
ET_Amh_Deb_1_2011-12-16,9.68,39.53,Africa,Ethiopia,1,5,1,2011-12-16,,dgn,PoolSeq,0
ET_Gam_Gam_1_2011-12-16,8.25,34.59,Africa,Ethiopia,1,20,1,2011-12-16,,dgn,PoolSeq,0
ET_Oro_Dod_1_2008-12-16,6.98,39.18,Africa,Ethiopia,1,5,1,2008-12-16,,dgn,PoolSeq,0
ET_Oro_Fic_1_2011-12-16,9.81,38.63,Africa,Ethiopia,1,63,1,2011-12-16,,dgn,PoolSeq,0
ET_Sou_Bon_1_2011-12-16,7.26,36.25,Africa,Ethiopia,1,5,1,2011-12-16,,dgn,PoolSeq,0
FI_Cen_Jyv_1_2019-09-19,62.0,25.0,Europe,Finland,1,20,1,2019-09-19,,DrosEU_3,PoolSeq,0
FR_Cot_Mar_1_2020-08-02,47.42884,5.0776,Europe,France,1,40,1,2020-08-02,,DrosEU_3,PoolSeq,0
FR_Eur_Sai_1_2018-09-15,48.13,1.34,Europe,France,1,30,1,2018-09-15,,DrosEU_3,PoolSeq,0
FR_Gua_Des_1_2015-12-16,16.32,-61.78,North_America,Guadeloupe,1,40,1,2015-12-16,SRR8439114,DrosEU,PoolSeq,0
FR_Gua_Sai_1_2015-12-23,16.25,-61.28,North_America,Guadeloupe,1,40,1,2015-12-23,SRR8439112,DrosEU,PoolSeq,0
FR_Rho_Lyo_1_2010-07-16,45.77,4.86,Europe,France,1,87,1,2010-07-16,,dgn,PoolSeq,0
